trial,discrim,success,failure reason,time in homezone,pull duration,ExitHomeZone,JoystickPull,JoystickRelease,water_dispense,joystick_zone_enter,joystick_zone_exit,,,,JoystickPull_bOval,JoystickPull_monkey3,JoystickPull_sun
15,bOval,TRUE,,0,1.199435903,,223.242425,224.433425,224.9758716,223.39405,224.427275,,,,223.242425,60.623425,198.902425
16,bOval,TRUE,,0,0.811719151,,228.403425,229.203425,229.7263025,228.644425,229.17735,,,,228.403425,210.043425,269.542425
17,bOval,TRUE,,0,0.796557034,,233.082425,233.852425,234.4051077,233.327475,233.81295,,,,233.082425,238.812425,279.452425
20,bOval,TRUE,,0,1.116968557,,263.082425,264.182425,264.7577854,263.29495,264.195175,,,,263.082425,252.082425,298.132425
23,bOval,TRUE,,0,1.049808157,,288.582425,289.652425,290.1526787,288.6955,289.67865,,,,288.582425,305.262425,314.682425
24,bOval,TRUE,,0,0.841894275,,293.082425,293.952425,294.4240639,293.39555,294.34775,,,,293.082425,356.841425,404.462425
33,bOval,TRUE,,0,0.935300286,,368.282425,369.232425,369.7601499,368.880125,369.547275,,,,368.282425,389.172425,477.980425
45,bOval,TRUE,,0,1.139947793,,498.160425,499.300425,499.8487556,498.382825,499.332675,,,,498.160425,423.402425,503.201425
49,bOval,TRUE,,0,0.985387839,,535.510425,536.500425,537.038029,535.91685,536.5334,,,,535.510425,440.551425,540.821425
61,bOval,TRUE,,0,0.688021409,,660.570425,661.240425,661.9465581,660.819275,661.40305,,,,660.570425,510.241425,643.770425
62,bOval,TRUE,,0,0.661752707,,665.580425,666.230425,666.8662744,666.10305,666.40315,,,,665.580425,556.360425,670.039425
67,bOval,TRUE,,0,1.128505074,,705.609425,706.739425,707.2612245,705.8538,706.6038,,,,705.609425,565.600425,710.949425
69,bOval,TRUE,,0,0.747730757,,718.150425,718.900425,719.4224066,718.3704,718.9872,,,,718.150425,596.720425,729.179425
70,bOval,TRUE,,0,0.699219229,,722.839425,723.549425,724.0486239,723.070575,723.839525,,,,722.839425,606.510425,803.849425
73,bOval,TRUE,,0,1.030932917,,747.179425,748.219425,748.7625468,747.571175,748.2046,,,,747.179425,650.290425,923.198425
74,bOval,TRUE,,0,0.690424791,,752.729425,753.409425,753.9526788,752.98785,753.537975,,,,752.729425,685.320425,930.028425
77,bOval,TRUE,,0,1.12129664,,791.578425,792.708425,793.2546641,791.97195,792.70555,,,,791.578425,694.739425,937.968425
78,bOval,TRUE,,0,0.749093814,,797.719425,798.459425,798.9810205,797.972175,798.50775,,,,797.719425,757.339425,973.628425
80,bOval,TRUE,,0,0.900243132,,810.978425,811.878425,812.4077461,811.1723,811.988975,,,,810.978425,826.129425,998.418425
84,bOval,TRUE,,0,1.165075246,,842.459425,843.639425,844.1540824,842.706475,843.539525,,,,842.459425,852.648425,1031.728425
85,bOval,TRUE,,0,0.964177071,,847.618425,848.568425,849.1205795,847.856525,848.589825,,,,847.618425,862.538425,1114.687425
89,bOval,TRUE,,0,0.832649097,,885.588425,886.418425,886.908276,885.807425,886.523825,,,,885.588425,872.278425,1597.603425
91,bOval,TRUE,,0,0.920686414,,912.278425,913.169425,913.7291968,912.60795,913.541175,,,,912.278425,958.738425,1680.774425
95,bOval,TRUE,,0,1.050037947,,951.398425,952.428425,952.8526316,951.8419,952.542025,,,,951.398425,1057.737425,1737.153425
98,bOval,TRUE,,0,1.05027686,,988.037425,989.077425,989.6421069,988.59255,989.075875,,,,988.037425,1077.337425,1829.472425
99,bOval,TRUE,,0,0.59917042,,993.358425,993.948425,994.529403,993.842675,994.159725,,,,993.358425,1104.507425,1840.283425
