trial,discrim,success,failure reason,time in homezone,pull duration,reward duration,joystick_zone_enter,joystick_zone_exit,discrim_delay,go_cue_delay,homezone_enter_ts,DiscrimDisplay,GoCue_Display,ExitHomeZone,JoystickPull,JoystickRelease,water_dispense,joystick_zone_enter,joystick_zone_exit
1,bOval,FALSE,joystick not pulled within MaxTimeAfterSound,0,0,0,,,0.6330131043272618,0.9315687104356951,11.90659999998752,12.560353408989613,13.504819615991437,,,,,,
2,bOval,FALSE,joystick not pulled within MaxTimeAfterSound,0,0,0,79035.19298,,0.5797932376105732,0.5310771605633751,32.990199999985634,30.348116248991573,30.904030077988864,,,,,42.0904,43.475849999987986
3,monkey3,FALSE,joystick pulled before cue,0,0,0,79041.44283,,0.9931439367685369,0.5451499534365924,49.70755,48.1964759,48.77093168799183,,48.37442499998724,,,48.34024999999383,49.45749999998952
4,monkey3,TRUE,,0,6.447586040999994,1,79054.0435,,0.8355822288131115,0.7429788806251403,67.30759999998554,55.878188560993294,56.63971894799033,67.07402499999444,60.623425,67.09342499998456,67.61756934999721,60.940924999988056,66.95759999999427
5,bOval,FALSE,joystick not pulled within MaxTimeAfterSound,0,0,0,,,0.814600202,0.6300707004474673,,70.45756271899154,71.10105485799431,,60.623425,67.09342499998456,,,
6,monkey3,FALSE,joystick not pulled within MaxTimeAfterSound,0,0,0,,,0.9231880655695688,0.3060660971374441,103.60819999998785,88.26336208198336,88.59781841898803,,60.623425,67.09342499998456,,,
7,bOval,FALSE,joystick pulled for incorrect amount of time,0,2.046521255000016,0,79104.5277,,0.5229782461353016,0.7669872830247078,113.8085749999882,105.3546003389929,106.14820859798056,,111.17342499998631,113.2434249999933,,111.4251249999943,113.44199999999546
8,sun,FALSE,joystick pulled for incorrect amount of time,0,0.72078523,0,79119.22783,,0.85081563,0.4070428955995702,129.45879999999306,120.36019422097888,120.78875876698294,,127.80342499999097,128.52342499999213,,126.12524999998277,129.042375
9,monkey3,FALSE,joystick pulled for incorrect amount of time,0,2.060980031999975,0,79132.6951,,0.6003558137661928,0.754504716,142.29254999998375,135.39850116598245,136.17453138397832,,139.4234249999863,141.48342499998398,,139.59252499998547,141.91102499999397
10,bOval,FALSE,joystick pulled for incorrect amount of time,0,4.056535344000025,0,79144.97845,,0.7766095017863373,0.48512382296453505,156.2761249999894,148.49915586298448,149.03048905798641,,151.70342499998515,155.76342499998282,,151.87587499998335,155.72802499998943
11,sun,FALSE,joystick pulled for incorrect amount of time,0,0.7162783900000136,0,79165.0459,,0.8950254683294525,0.324778315,162.9094749999931,163.79907889397873,164.16488752797886,,173.89342499998747,174.60342499999388,,171.94332499998563,175.20972499999334
12,sun,FALSE,joystick pulled for incorrect amount of time,0,4.738560844999995,0,79178.57915,,0.7034363158631827,0.3988443241156743,190.4266999999818,181.5798323989875,182.00555308499315,,185.2434249999933,189.98342499998398,,185.47657499999332,190.06007499998668
13,sun,TRUE,,0,3.1842153430000053,0.1350000000020375,79192.22933,,0.831166027,0.5306248730106099,202.59389999999257,197.10742650298926,197.64910763899388,,198.90242499999295,202.0724249999912,202.61525958798302,199.12674999998126,202.1768749999901
14,monkey3,TRUE,,0,5.504296721999992,1,79203.29665,,0.771473417,0.4394440945577614,216.17714999998861,204.5564508339885,205.01144459398347,,210.04342499998165,215.5724249999912,216.09851200597768,210.19407499999215,215.91072499999427
15,bOval,TRUE,,0,1.1994359029999941,0.31028571429529356,79216.49663,,0.5796933782980609,0.6371281834362308,224.91072499999427,218.71258128798218,219.3463167819864,,223.24242499998945,224.43342499998107,224.9758715889766,223.39404999998806,224.42727499999455
16,bOval,TRUE,,0,0.8117191510000339,0.642857143,79221.747,,0.909774816,0.6835698098862202,229.5944249999884,227.20053844498761,227.91374803398503,,228.40342499998224,229.20342499998515,229.72630252299132,228.64442499999132,229.17734999998356
17,bOval,TRUE,,0,0.7965570339999886,0.6085714285760853,79226.43005,,0.61035421,0.47451861412779867,234.22764999998617,232.09605908398225,232.59478355299507,,233.08242499998596,233.85242499999003,234.4051077,233.32747499998368,233.81294999999227
18,monkey3,TRUE,,0,4.841221157,1,79232.03003,,0.6405063727873923,0.861881292,244.3278999999893,236.68578875699313,237.58180216499022,,238.81242499998189,243.65242499999295,244.18875691799622,238.9274499999883,243.99467499999446
19,monkey3,TRUE,,0,4.202012625000009,0.5040000000037252,79245.63073,,0.5083908853794548,0.6835552509453584,257.0780499999819,246.73193499498302,247.4270328379789,,252.08242499998596,256.2724249999883,256.8241076679842,252.52814999998373,256.79509999998845
20,bOval,TRUE,,0,1.116968557000007,0.4142857142790619,79256.39753,,0.8019825344597099,0.4698985060833369,264.42824999998265,259.1502598590014,259.64285584699246,,263.08242499998596,264.1824249999918,264.75778537899896,263.2949499999813,264.1951749999862
21,sun,TRUE,,0,2.6616529220000302,0.7066666666748159,79262.88083,,0.9403562120679181,0.3376281252792684,272.57832499999495,267.1541859279969,267.5266547509964,,269.54242499999236,272.2224249999854,272.7331362969999,269.7782499999885,272.2284999999829
22,sun,TRUE,,0,2.5840199939999593,0.765,79272.68095,,0.9382386081582959,0.42967843880829115,282.3618749999878,275.4406391019875,275.87650074699195,,279.4524249999813,282.0224249999883,282.6131448739907,279.57837499998277,282.0118499999953
23,bOval,TRUE,,0,1.0498081570000295,0.44857142856344573,79281.79808,,0.9340119369409011,0.754847501,290.01212499999383,285.3132403129857,286.08703621299355,,288.58242499998596,289.65242499999295,290.15267874898564,288.6954999999871,289.6786499999871
24,bOval,TRUE,,0,0.8418942750000156,0.6771428571481789,79286.49813,,0.5858102429514613,0.7026823129583375,294.61222499998985,292.19682322598237,292.91733732698776,,293.08242499998596,293.9524249999813,294.4240639439813,293.39554999998654,294.34774999998626
25,sun,TRUE,,0,2.820150373,0.5433333333421617,79291.39838,,0.5934561392130504,0.6848336253703623,301.4120999999868,296.8202155849867,297.4968530069891,,298.13242499998887,300.9524249999813,301.50393970399455,298.2957999999926,301.01219999998284
26,monkey3,TRUE,,0,5.143532622999999,1,79298.56463,,0.8844448504175659,0.6964492329496998,311.07927499998186,303.9511518149957,304.67063613999926,,305.2624249999935,310.4124249999877,310.92101574799744,305.46204999998736,310.7981249999866
27,sun,TRUE,,0,2.9389692209999794,0.39166666667006234,79307.93178,,0.5627034008401781,0.5343991161152717,318.0461999999825,313.54643414498423,314.1137296819943,,314.6824249999918,317.63242499998887,318.1594885829836,314.82919999999285,317.67914999998175
28,monkey3,FALSE,joystick pulled for incorrect amount of time,0,1.0795063119999782,0,79315.41518,,0.826126559,0.7631429089577207,323.5963499999925,320.43454326198844,321.2192681329907,,322.14142499999434,323.2124249999906,,322.3125999999902,323.2463999999891
29,monkey3,FALSE,hand removed from homezone before cue,0,0,0,79323.13193,,0.5336949737630265,0.5753937766285085,331.14659999999276,,,330.7794249999861,322.14142499999434,323.2124249999906,,330.0293499999825,330.66287499999453
30,monkey3,FALSE,joystick pulled for incorrect amount of time,0,3.860199033000015,0,79331.08215,,0.7569288327530104,0.43703638825299007,342.3967999999877,336.7210189809848,337.1743021479924,,337.7414249999856,341.6014249999862,,337.9795749999903,342.06304999998247
31,bOval,FALSE,hand removed from homezone before cue,0,0,0,79342.51565,,0.7108792871045118,0.9972909592076868,350.14692499999364,348.56451773497975,,,337.7414249999856,341.6014249999862,,349.4130749999895,349.8967999999877
32,monkey3,TRUE,,0,6.165818499000011,1,79350.16585,,0.5801739608771201,0.4753370997299972,363.4633749999921,355.95117490198754,356.44050622599025,,356.84142499999143,362.9824249999947,363.5368963639921,357.06327499999315,363.0469249999878
33,bOval,TRUE,,0,0.935300286,0.585714286,79361.9827,,0.7268591189413443,0.5412784502158279,369.83037499999045,366.2631117569981,366.83519524098665,,368.28242499998305,369.2324249999947,369.7601498669974,368.8801249999815,369.5472749999899
34,bOval,FALSE,joystick pulled for incorrect amount of time,0,1.3288684030000013,0,79371.84988,,0.8293215034357098,0.43175109328999906,380.330525,372.2365196959872,372.6827817389858,,378.64142499999434,379.98142499999085,,378.7472999999882,379.9992499999935
35,monkey3,TRUE,,0,5.946290838999971,1,79382.5,,0.8694568121273141,0.9332977204014492,386.9140749999933,387.79863335497794,388.7392045439774,,389.17242499998247,395.14142499999434,395.6631216969836,389.3974249999883,
36,sun,TRUE,,0,2.8799654919999966,0.46283333333849463,79390.5832,,0.8268508995073778,0.8150220189746491,399.06419999999343,399.90785841998877,400.76343999597884,404.2643499999831,404.4624249999906,407.3514249999862,407.85373044798325,397.48062499998196,398.73084999999264
37,bOval,FALSE,joystick pulled for incorrect amount of time,0,1.8117345449999789,0,79406.76708,,0.5106681482893192,0.6756822825343184,416.1811999999918,409.87513145997946,410.58019635098753,,413.8014249999833,415.62142499999027,,413.6644999999844,415.6809999999823
38,monkey3,TRUE,,0,5.196588909000013,1,79416.75075,,0.5352066821691182,0.46679938947678207,429.33157499998924,422.3850392589811,422.8702617419767,,423.40242499999295,428.6014249999862,429.1001333,423.6481749999948,429.04837499998393
39,bOval,FALSE,hand removed from homezone before cue,0,0,0,79425.96733,,0.6252166968222598,0.9683797277855608,433.54867499998363,431.7908462819905,,,423.40242499999295,428.6014249999862,,432.86474999999336,433.3168749999895
40,monkey3,TRUE,,0,5.781681729000013,1,79433.8841,,0.8947916915804888,0.5370382197662981,,439.71190829598345,440.25843040598556,,440.5514249999833,446.34142499999143,446.83079442697635,440.78152499998396,
41,sun,FALSE,joystick pulled for incorrect amount of time,0,3.5640015070000004,0,79444.68433,,0.7247159871632657,0.5276884400239062,449.0652999999875,449.81337341098697,450.3777509629872,,451.32142499998736,454.88142499998503,,451.58175,455.43202499998733
42,bOval,FALSE,joystick pulled for incorrect amount of time,0,1.3664968619999627,0,79460.6514,,0.609971895,0.4676316503402144,469.5823749999836,461.7837103229831,462.2763533529942,,467.72142499998154,469.09142499999143,,467.54882499999076,468.9655499999935
43,sun,TRUE,,0,3.0429498239999475,0.2738333333254561,79471.35178,,0.980812228,0.6082626961259241,481.6497499999823,476.2900081919943,476.9322142509918,,477.980425,481.03142499999376,481.5228827,478.2491999999911,481.0993749999907
44,bOval,FALSE,joystick pulled for incorrect amount of time,0,1.7718190260000029,0,79481.26848,,0.9162565091839805,0.5518573742022646,490.4998499999929,483.8021039809828,484.3864412889816,,487.951425,489.7414249999856,,488.1658999999927,489.7158499999932
45,bOval,TRUE,,0,1.139947793000033,0.36857142857209374,79491.4854,,0.8816298935848863,0.6293460901254082,499.7828249999875,496.875962,497.5176018539787,,498.1604249999946,499.300425,499.84875560799264,498.3828249999933,499.3326749999833
46,sun,TRUE,,0,3.025253467000084,0.2983333333346917,79496.46875,,0.8466587459356727,0.846461477,506.78299999998126,502.1366753229813,503.00532582098094,506.3162749999901,503.201425,506.23142499999085,506.7432018579857,503.3661749999883,506.24972499998694
47,monkey3,TRUE,,0,5.358290011999998,1,79503.55245,,0.7183071696786318,0.7895843477694484,516.2831749999896,508.8459435509867,509.64290371499374,,510.2414249999856,515.6204249999864,516.1733414,510.44987499999115,515.9831499999855
48,sun,FALSE,joystick pulled for incorrect amount of time,0,3.278452416,0,79513.35273,,0.8311392296718914,0.5019323781180323,523.9334499999823,519.0226764249819,519.5266372999904,,520.0814249999821,523.381425,,520.2501499999926,523.6165749999927
49,bOval,TRUE,,0,0.9853878390000546,0.5399999999940128,79529.01943,,0.6337346842774685,0.3197323213509278,536.9669999999896,530.2926043699845,530.6242753,,535.5104249999858,536.5004249999911,537.0380289649765,535.9168499999942,536.5333999999857
50,sun,TRUE,,0,2.010363620000021,0.11166666666055487,79534.10308,,0.8310375945205117,0.6202574593667631,543.4338999999891,539.4452733199869,540.0907195249893,,540.8214249999874,542.8314249999821,543.3581049819768,541.0004999999946,543.1190249999927
51,sun,FALSE,joystick pulled for incorrect amount of time,0,1.7568185609999318,0,79540.10325,,0.685175081,0.3823819831688488,545.2336999999825,545.2363762,545.6261228759831,,546.8604249999917,548.6004249999824,,547.0006749999884,548.7670499999949
52,monkey3,TRUE,,0,5.062597680999943,1,79549.88643,,0.5531474861414438,0.681103393,562.1841499999864,555.4277020049922,556.1234148059884,,556.3604249999917,561.4414249999827,561.9332215149916,556.7838499999925,561.901075
53,monkey3,TRUE,,0,4.800986041999977,1,79559.0366,,0.6650986553387916,0.35842060442325074,571.1343749999942,564.6695741919975,565.0653925929946,,565.6004249999824,570.4304249999841,570.9407891,565.934025,570.8343249999889
54,sun,FALSE,joystick pulled for incorrect amount of time,0,1.0182083949999878,0,79569.45385,,0.7846432717204048,0.9859342934557802,579.5013499999914,573.7651198079984,574.7668603349885,582.551525,582.6204249999864,583.6304249999812,,576.3512749999936,579.1678249999823
55,monkey3,TRUE,,0,5.468526821000069,1,79590.02063,,0.7005687782305163,0.35449586176825143,602.8682999999874,590.6174100249918,590.9899113489955,,596.7204249999922,602.1704249999893,602.7370573689986,596.91805,602.6182249999838
56,monkey3,TRUE,,0,5.927308115999949,1,79600.08755,,0.8910622117390101,0.5710868687160888,,605.6374695129925,606.2593756939896,,606.5104249999858,612.4404249999934,612.9497092539823,606.9849749999848,
